province_name,deterministic_rank,base_biomethane_million_nm3,mc_mean_biomethane_million_nm3,mc_p05_biomethane_million_nm3,mc_p50_biomethane_million_nm3,mc_p95_biomethane_million_nm3,median_rank,rank_p05,rank_p95,top1_probability,top3_probability,top5_probability
RIAU,1,654.189,636.953,499.051,631.742,791.677,1,1,1,1.000,1.000,1.000
KALIMANTAN TENGAH,2,468.219,456.079,355.533,453.068,568.045,2,2,3,0.000,1.000,1.000
SUMATERA UTARA,3,435.275,423.775,331.844,419.492,527.529,3,2,3,0.000,0.994,1.000
KALIMANTAN BARAT,4,345.239,336.351,262.707,333.772,419.143,4,4,5,0.000,0.006,0.989
KALIMANTAN TIMUR,5,323.382,314.947,246.597,312.663,391.986,5,4,6,0.000,0.000,0.926
SUMATERA SELATAN,6,280.984,273.521,213.789,271.725,340.298,6,5,6,0.000,0.000,0.084
JAMBI,7,228.842,222.786,174.771,221.069,277.647,7,7,7,0.000,0.000,0.000
SUMATERA BARAT,8,110.866,108.040,84.461,107.176,134.623,9,8,10,0.000,0.000,0.000
KALIMANTAN SELATAN,9,109.286,106.428,83.289,105.545,132.553,9,8,10,0.000,0.000,0.000
ACEH,10,104.757,102.054,79.612,101.303,127.052,10,8,10,0.000,0.000,0.000
BENGKULU,11,83.215,81.067,63.352,80.390,101.098,11,11,12,0.000,0.000,0.000
KEP. BANGKA BELITUNG,12,80.319,78.207,61.217,77.556,97.115,12,11,12,0.000,0.000,0.000
KALIMANTAN UTARA,13,57.145,55.679,43.532,55.206,69.297,13,13,14,0.000,0.000,0.000
LAMPUNG,14,51.088,49.770,38.873,49.379,62.007,14,13,15,0.000,0.000,0.000
PAPUA,15,47.138,45.945,35.903,45.554,57.173,15,14,15,0.000,0.000,0.000
SULAWESI BARAT,16,39.501,38.453,29.999,38.165,47.896,16,16,16,0.000,0.000,0.000
SULAWESI TENGAH,17,30.284,29.471,22.989,29.277,36.671,17,17,17,0.000,0.000,0.000
SULAWESI TENGGARA,18,22.121,21.549,16.817,21.367,26.873,18,18,18,0.000,0.000,0.000
PAPUA BARAT,19,16.854,16.418,12.811,16.304,20.456,19,19,20,0.000,0.000,0.000
SULAWESI SELATAN,20,15.010,14.620,11.420,14.500,18.216,20,19,20,0.000,0.000,0.000
BANTEN,21,4.740,4.615,3.607,4.579,5.744,21,21,21,0.000,0.000,0.000
GORONTALO,22,3.950,3.848,3.003,3.819,4.785,22,22,22,0.000,0.000,0.000
JAWA BARAT,23,2.633,2.564,2.006,2.541,3.206,23,23,23,0.000,0.000,0.000
KEP. RIAU,24,1.712,1.667,1.306,1.653,2.077,24,24,26,0.000,0.000,0.000
MALUKU,25,1.580,1.539,1.206,1.528,1.918,25,24,26,0.000,0.000,0.000
MALUKU UTARA,26,1.580,1.539,1.207,1.529,1.911,25,24,26,0.000,0.000,0.000
JAWA TIMUR,27,0.790,0.769,0.602,0.763,0.962,27,27,27,0.000,0.000,0.000
