biomethane_rank,province_name,mills_with_capacity,total_capacity_tonnes_ffb_hour,base_annual_ffb_million_tonnes,base_pome_million_m3,low_biomethane_million_nm3,base_biomethane_million_nm3,high_biomethane_million_nm3,base_energy_tj,base_diesel_equivalent_million_liters,mean_neighbors_within_10km,share_mills_with_3plus_neighbors_10km,mean_neighbors_within_25km,share_mills_with_3plus_neighbors_25km,mean_neighbors_within_50km,share_mills_with_3plus_neighbors_50km,median_nearest_neighbor_km
1,RIAU,279,12421.0,74.526,52.168,264.102,654.189,1331.291,23420.0,606.74,1.99,0.366,11.02,0.943,34.21,0.993,5.49
2,KALIMANTAN TENGAH,141,8890.0,53.34,37.338,189.024,468.219,952.836,16762.2,434.25,0.84,0.078,6.77,0.794,22.1,0.936,9.83
3,SUMATERA UTARA,211,8264.5,49.587,34.711,175.724,435.275,885.794,15582.8,403.7,2.54,0.488,11.77,0.938,33.55,0.991,5.4
4,KALIMANTAN BARAT,136,6555.0,39.33,27.531,139.376,345.239,702.569,12359.5,320.2,0.43,0.0,3.32,0.632,10.53,0.956,11.86
5,KALIMANTAN TIMUR,114,6140.0,36.84,25.788,130.552,323.382,658.089,11577.1,299.92,0.63,0.035,3.61,0.623,8.95,0.956,10.36
6,SUMATERA SELATAN,104,5335.0,32.01,22.407,113.435,280.984,571.809,10059.2,260.6,0.71,0.01,3.75,0.673,12.69,0.99,9.06
7,JAMBI,91,4345.0,26.07,18.249,92.386,228.842,465.7,8192.6,212.24,1.3,0.154,6.51,0.945,19.14,1.0,7.02
8,SUMATERA BARAT,40,2105.0,12.63,8.841,44.758,110.866,225.615,3969.0,102.82,1.25,0.15,4.85,0.85,9.7,0.95,9.14
9,KALIMANTAN SELATAN,45,2075.0,12.45,8.715,44.12,109.286,222.4,3912.4,101.36,0.67,0.067,3.73,0.8,8.4,0.933,11.3
10,ACEH,64,1989.0,11.934,8.354,42.291,104.757,213.182,3750.3,97.16,1.69,0.281,6.41,0.734,11.66,0.984,6.39
11,BENGKULU,38,1580.0,9.48,6.636,33.595,83.215,169.345,2979.1,77.18,2.05,0.237,4.53,0.684,9.68,0.947,4.23
12,KEP. BANGKA BELITUNG,28,1525.0,9.15,6.405,32.425,80.319,163.45,2875.4,74.49,0.5,0.0,3.29,0.643,8.14,1.0,12.24
13,KALIMANTAN UTARA,22,1085.0,6.51,4.557,23.07,57.145,116.291,2045.8,53.0,0.18,0.0,1.55,0.182,5.45,0.909,14.13
14,LAMPUNG,21,970.0,5.82,4.074,20.625,51.088,103.965,1828.9,47.38,0.1,0.0,2.0,0.381,5.81,1.0,19.25
15,PAPUA,14,895.0,5.37,3.759,19.03,47.138,95.927,1687.5,43.72,0.14,0.0,0.57,0.0,2.29,0.5,24.5
16,SULAWESI BARAT,14,750.0,4.5,3.15,15.947,39.501,80.385,1414.1,36.64,0.86,0.0,3.86,0.857,6.57,1.0,7.39
17,SULAWESI TENGAH,11,575.0,3.45,2.415,12.226,30.284,61.629,1084.2,28.09,0.18,0.0,0.73,0.0,1.45,0.0,13.53
18,SULAWESI TENGGARA,9,420.0,2.52,1.764,8.93,22.121,45.016,791.9,20.52,0.0,0.0,0.67,0.0,2.0,0.111,24.85
19,PAPUA BARAT,7,320.0,1.92,1.344,6.804,16.854,34.298,603.4,15.63,0.0,0.0,0.0,0.0,0.86,0.0,41.61
20,SULAWESI SELATAN,8,285.0,1.71,1.197,6.06,15.01,30.546,537.4,13.92,0.25,0.0,2.75,0.5,5.25,1.0,11.08
21,BANTEN,2,90.0,0.54,0.378,1.914,4.74,9.646,169.7,4.4,0.0,0.0,0.0,0.0,1.0,0.0,41.09
22,GORONTALO,2,75.0,0.45,0.315,1.595,3.95,8.039,141.4,3.66,0.0,0.0,0.0,0.0,0.0,0.0,127.36
23,JAWA BARAT,2,50.0,0.3,0.21,1.063,2.633,5.359,94.3,2.44,0.0,0.0,0.0,0.0,0.0,0.0,174.54
24,KEP. RIAU,2,32.5,0.195,0.137,0.691,1.712,3.483,61.3,1.59,0.0,0.0,0.0,0.0,0.0,0.0,137.58
25,MALUKU,1,30.0,0.18,0.126,0.638,1.58,3.215,56.6,1.47,0.0,0.0,0.0,0.0,0.0,0.0,
26,MALUKU UTARA,1,30.0,0.18,0.126,0.638,1.58,3.215,56.6,1.47,0.0,0.0,0.0,0.0,0.0,0.0,
27,JAWA TIMUR,1,15.0,0.09,0.063,0.319,0.79,1.608,28.3,0.73,0.0,0.0,0.0,0.0,0.0,0.0,
