trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,active,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name,longitude_geom,latitude_geom
M-00001,PO1000004269,SUMBER TANI HARAPAN (STH),ABDI BUDI MULIA,ABDI BUDI MULIA 1,2.05244675041259,100.253109985984,60.0,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA,100.25310999,2.05244675
M-00002,PO1000008154,SUMBER TANI HARAPAN (STH),ABDI BUDI MULIA,ABDI BUDI MULIA 2,2.11237511666291,100.273097785622,45.0,Operating,2016,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA,100.27309779,2.11237512
M-00003,PO1000008417,UNKNOWN,PALM LAMPUNG PERSADA,PALM LAMPUNG PERSADA,-4.37461382864178,104.599497446277,60.0,Operating,2009,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),WAY KANAN,ID-1807,LAMPUNG,104.59949745,-4.37461383
M-00006,PO1000004351,ADIMULIA,ADIMULIA AGROLESTARI,ADIMULIA AGROLESTARI,-0.110303436558904,101.386960132929,30.0,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",KUANTAN SINGINGI,ID-1401,RIAU,101.38696013,-0.11030344
M-00007,PO1000007616,INCASI RAYA (GUNAS),SUMATERA JAYA AGRO LESTARI,TOBA,-0.410197114754866,110.182516969398,60.0,Operating,2013,Establishment year based on other government record of establishment (e.g. Permit database),SANGGAU,ID-6105,KALIMANTAN BARAT,110.18251697,-0.41019711
M-00008,PO1000000284,SAMPOERNA AGRO,AEK TARUM,BELIDA,-3.83833431461917,104.971979742141,60.0,Operating,1996,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",OGAN KOMERING ILIR,ID-1602,SUMATERA SELATAN,104.97197974,-3.83833431
M-00009,PO1000004554,UNKNOWN,AGRI ANDALAS,DERMAYU,-3.99753277002698,102.429152682963,30.0,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",SELUMA,ID-1705,BENGKULU,102.42915268,-3.99753277
M-00010,PO1000004072,UNKNOWN,AGRICINAL,AGRICINAL,-3.20096878832552,101.629785899295,45.0,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",BENGKULU UTARA,ID-1703,BENGKULU,101.6297859,-3.20096879
M-00011,PO1000006188,GOODHOPE,AGRO INDOMAS,BUMI JAYA,-1.0151819679507,116.68962899076,45.0,Operating,2015,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PENAJAM PASER UTARA,ID-6409,KALIMANTAN TIMUR,116.68962899,-1.01518197
M-00012,PO1000010073,KALIMANTAN PLANTATION UNIT (KPU),ADITYA AGROINDO,SIMPANG HULU BARAT,-0.4393,110.23474,60.0,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KETAPANG,ID-6106,KALIMANTAN BARAT,110.23474,-0.4393
