province_name,mill_count,operating_count,closed_or_inactive_count,unknown_status_count,mills_with_capacity,mills_missing_capacity,total_capacity_tonnes_ffb_hour,mean_capacity_tonnes_ffb_hour,median_capacity_tonnes_ffb_hour
ACEH,66,65,1,0,64,2,1989.0,31.08,30.0
BANTEN,2,2,0,0,2,0,90.0,45.0,45.0
BENGKULU,38,38,0,0,38,0,1580.0,41.58,45.0
GORONTALO,2,2,0,0,2,0,75.0,37.5,37.5
JAMBI,91,91,0,0,91,0,4345.0,47.75,45.0
JAWA BARAT,2,2,0,0,2,0,50.0,25.0,25.0
JAWA TIMUR,1,1,0,0,1,0,15.0,15.0,15.0
KALIMANTAN BARAT,139,139,0,0,136,3,6555.0,48.2,45.0
KALIMANTAN SELATAN,45,44,1,0,45,0,2075.0,46.11,45.0
KALIMANTAN TENGAH,144,144,0,0,141,3,8890.0,63.05,60.0
KALIMANTAN TIMUR,117,116,1,0,114,3,6140.0,53.86,60.0
KALIMANTAN UTARA,22,22,0,0,22,0,1085.0,49.32,45.0
KEP. BANGKA BELITUNG,29,29,0,0,28,1,1525.0,54.46,60.0
KEP. RIAU,2,2,0,0,2,0,32.5,16.25,16.25
LAMPUNG,21,21,0,0,21,0,970.0,46.19,45.0
MALUKU,1,1,0,0,1,0,30.0,30.0,30.0
MALUKU UTARA,1,1,0,0,1,0,30.0,30.0,30.0
PAPUA,14,13,1,0,14,0,895.0,63.93,60.0
PAPUA BARAT,7,6,1,0,7,0,320.0,45.71,45.0
RIAU,285,284,1,0,279,6,12421.0,44.52,45.0
SULAWESI BARAT,14,14,0,0,14,0,750.0,53.57,55.0
SULAWESI SELATAN,8,8,0,0,8,0,285.0,35.62,30.0
SULAWESI TENGAH,13,13,0,0,11,2,575.0,52.27,45.0
SULAWESI TENGGARA,9,9,0,0,9,0,420.0,46.67,45.0
SUMATERA BARAT,41,41,0,0,40,1,2105.0,52.62,60.0
SUMATERA SELATAN,108,106,2,0,104,4,5335.0,51.3,45.0
SUMATERA UTARA,230,230,0,0,211,19,8264.5,39.17,30.0
