source_name,url,local_file,study_role,access_result
Trase Indonesia palm oil mills,https://trase.earth/open-data/datasets/indonesia-palm-oil-mills,sources/trase_indonesia_palm_oil_mills_page.html,Mill dataset landing page and citation,Downloaded page
Trase Indonesia palm oil mills GeoJSON,https://resources.trase.earth/data/facilities-data/IDN_PO_mills_clean.geo.json,raw/trase_IDN_PO_mills_clean.geojson,Primary mill location/capacity data,Downloaded data
Trase facilities methodology,https://resources.trase.earth/data/facilities-data/Indonesia_palm_oil_mills_facilities_methods_2025_07.pdf,docs/trase_indonesia_palm_oil_mills_facilities_methods_2025_07.pdf,Mill data methodology,Downloaded PDF
CIFOR-ICRAF Oil Palm Mills Database,https://www.cifor-icraf.org/knowledge/dataset/00098/,sources/cifor_oil_palm_mills_database_page.html,Secondary mill source/cross-check,Downloaded page; data files partly locked/session-gated
BPS estate crops statistics 2024,https://www.bps.go.id/publication/2025/08/29/8d2a6ab3510f9828daf73191/statistik-tanaman-perkebunan-tahunan-indonesia-2024-kelapa-sawit-kopi-kakao-karet-teh-dan-komoditas-perkebunan-unggulan-.html,sources/bps_estate_crops_2024_page.html,Official province-level palm oil area/production source,Cloudflare-gated from command line
Ministry of Agriculture Statistik Pertanian 2024,https://repository.pertanian.go.id/handle/123456789/26447,sources/ministry_agriculture_statistik_pertanian_2024_placeholder.html,Official agriculture statistics source,Command-line URL returned HTML placeholder; retrieve manually if needed
ESDM first commercial Bio-CNG plant,https://www.esdm.go.id/id/media-center/arsip-berita/pabrik-biocng-komersial-pertama-di-indonesia-diresmikan,sources/esdm_first_commercial_biocng_2024.html,Indonesia deployment/readiness evidence,Downloaded page
GEC CDM POME North Sumatra page,https://gec.jp/en-cdm/2009cdmfs01-1/,sources/gec_cdm_pome_north_sumatra_page.html,CDM feasibility/project evidence,Downloaded page
GEC CDM POME North Sumatra report,https://gec.jp/eng/cdm-fs/2009/200908R1_eIndonesia_rep.pdf,docs/gec_2009_cdm_pome_north_sumatra_report.pdf,CDM feasibility/project benchmark,Downloaded PDF
UNFCCC AANE Belitung POME CDM page,https://cdm.unfccc.int/Projects/Validation/DB/XM327IJQDTRMU0JEUEG2KA50LVSBZ1/view.html,sources/unfccc_cdm_aane_belitung_pome_page.html,Additional CDM project evidence,Command-line fetch returned small page only
Winrock POME-to-biogas handbook,https://winrock.org/wp-content/uploads/2016/05/CIRCLE-Handbook-2nd-Edition-EN-25-Aug-2015-MASTER-rev02-final-new02-edited.pdf,docs/winrock_2015_pome_to_biogas_project_development_indonesia.pdf,Indonesia POME project assumptions and context,Downloaded PDF
IGES grid emission factors,https://www.iges.or.jp/jp/pub/list-grid-emission-factor/en,sources/iges_grid_emission_factor_page.html,LCA electricity emission factor pointer,Downloaded page
ScienceDirect Pekanbaru bio-CNG article,https://www.sciencedirect.com/science/article/pii/S1755008424000334,sources/sciencedirect_pekanbaru_biocng_abstract_page.html,Recent Indonesia bio-CNG TEA/LCA comparator,Downloaded abstract page
Geofabrik Indonesia OSM extract,https://download.geofabrik.de/asia/indonesia.html,,Road/logistics source pointer,Full national shapefile is very large; use province-specific/road-only extraction
